City,Latitude,Longitude,Temperatures,Temp Max,Humidity,Country,Clouds,Date,Wind Speed
hermanus,-34.4187,19.2345,54.81,54.81,75,ZA,90,1627429578,14.7
ancud,-41.8697,-73.8203,44.13,44.13,84,CL,93,1627429578,3.13
asau,46.4333,26.4,70.99,71.96,71,RO,37,1627429579,5.7
callaway,30.153,-85.5699,81.03,82.33,80,US,1,1627429579,4.0
sept-iles,50.2001,-66.3821,64.13,64.92,70,CA,75,1627429562,7.0
jacareacanga,-6.2222,-57.7528,82.69,82.69,37,BR,13,1627429580,0.45
busselton,-33.65,115.3333,55.85,55.85,76,AU,97,1627429079,14.61
kaitangata,-46.2817,169.8464,52.93,52.93,59,NZ,86,1627428855,3.13
rio grande,-32.035,-52.0986,40.95,40.95,61,BR,5,1627429581,19.82
lebu,-37.6167,-73.65,47.43,47.43,79,CL,0,1627429581,22.44
saskylakh,71.9167,114.0833,60.67,60.67,53,RU,16,1627429582,19.17
pogranichnyy,44.4064,131.3769,88.63,88.63,53,RU,17,1627429582,3.06
jalu,29.0331,21.5482,82.27,82.27,34,LY,0,1627429583,7.38
hithadhoo,-0.6,73.0833,81.1,81.1,78,MV,97,1627429583,8.68
codrington,-38.2667,141.9667,50.14,50.14,77,AU,42,1627429583,21.25
hasaki,35.7333,140.8333,81.32,82.29,80,JP,80,1627429584,16.91
rikitea,-23.1203,-134.9692,74.53,74.53,78,PF,100,1627429584,13.35
cayenne,4.9333,-52.3333,82.09,82.09,87,GF,40,1627429334,5.01
tasiilaq,65.6145,-37.6368,41.16,41.16,80,GL,30,1627429585,7.56
ballina,-28.8667,153.5667,65.07,66.78,63,AU,2,1627429585,8.05
atuona,-9.8,-139.0333,78.22,78.22,65,PF,13,1627429585,16.93
port alfred,-33.5906,26.891,62.02,62.02,85,ZA,14,1627429586,14.43
ribeira grande,38.5167,-28.7,72.34,72.34,84,PT,71,1627429586,10.38
omboue,-1.5746,9.2618,73.11,73.11,83,GA,77,1627429587,5.03
bengkulu,-3.8004,102.2655,73.4,73.4,74,ID,46,1627429587,4.94
puerto ayora,-0.7393,-90.3518,72.09,72.09,79,EC,9,1627429587,11.18
banda aceh,5.5577,95.3222,79.88,79.88,81,ID,36,1627429401,12.62
yeniseysk,58.4497,92.1703,55.99,55.99,85,RU,97,1627429588,5.95
grong,64.4654,12.3149,63.43,63.43,62,NO,60,1627429588,4.56
saint-philippe,-21.3585,55.7679,65.52,65.79,89,RE,56,1627429589,11.74
fortuna,40.5982,-124.1573,58.93,84.18,94,US,1,1627429589,8.05
krasnooktyabrskiy,44.9328,38.3712,63.09,65.08,83,RU,0,1627429590,6.98
chenghai,23.4632,116.768,85.91,85.91,79,CN,64,1627429590,2.24
jamestown,42.097,-79.2353,74.44,75.29,71,US,75,1627429519,4.0
esperance,-33.8667,121.9,44.44,44.44,74,AU,23,1627429591,14.74
avera,33.194,-82.5271,83.01,89.11,56,US,54,1627429591,3.69
harper,4.375,-7.7169,76.95,76.95,74,LR,100,1627429591,8.46
eydhafushi,5.1033,73.0708,81.99,81.99,77,MV,62,1627429592,14.47
springfield,37.2153,-93.2982,89.87,92.17,62,US,1,1627429592,1.99
punta arenas,-53.15,-70.9167,44.71,44.71,81,CL,75,1627429485,19.57
cape town,-33.9258,18.4232,51.87,52.88,88,ZA,20,1627429395,2.3
chokurdakh,70.6333,147.9167,44.67,44.67,59,RU,100,1627429593,11.74
provideniya,64.3833,-173.3,50.11,50.11,87,RU,90,1627429594,15.66
kodiak,57.79,-152.4072,60.31,60.31,63,US,20,1627429594,5.75
belawan,3.7755,98.6832,75.49,75.49,92,ID,58,1627429595,5.35
tawang,27.5833,91.8667,57.87,57.87,93,IN,100,1627429595,1.41
kenai,60.5544,-151.2583,63.32,71.02,65,US,1,1627429595,12.66
ekibastuz,51.6667,75.3667,60.31,60.31,46,KZ,25,1627429596,5.23
